,PCA,NRM
60.0%,47.685714285714276,47.685714285714276
60.5%,47.685714285714276,47.685714285714276
61.0%,47.685714285714276,47.685714285714276
61.5%,47.685714285714276,47.685714285714276
62.0%,47.685714285714276,47.685714285714276
62.5%,46.37142857142857,46.45714285714286
63.0%,46.37142857142857,46.45714285714286
63.5%,46.37142857142857,46.45714285714286
64.0%,46.37142857142857,46.45714285714286
64.5%,46.37142857142857,46.45714285714286
65.0%,46.37142857142857,46.45714285714286
65.5%,46.37142857142857,46.45714285714286
66.0%,46.37142857142857,46.45714285714286
66.5%,46.37142857142857,46.45714285714286
67.0%,46.37142857142857,46.45714285714286
67.5%,46.37142857142857,46.45714285714286
68.0%,46.37142857142857,46.45714285714286
68.5%,46.37142857142857,46.45714285714286
69.0%,46.37142857142857,46.45714285714286
69.5%,46.37142857142857,46.45714285714286
70.0%,46.37142857142857,46.45714285714286
70.5%,46.37142857142857,46.45714285714286
71.0%,46.37142857142857,46.45714285714286
71.5%,56.65714285714285,56.65714285714285
72.0%,56.65714285714285,56.65714285714285
72.5%,56.65714285714285,56.65714285714285
73.0%,56.65714285714285,56.65714285714285
73.5%,56.65714285714285,56.65714285714285
74.0%,56.65714285714285,56.65714285714285
74.5%,56.65714285714285,56.65714285714285
75.0%,56.65714285714285,56.65714285714285
75.5%,56.65714285714285,56.65714285714285
76.0%,56.65714285714285,56.65714285714285
76.5%,56.65714285714285,56.65714285714285
77.0%,56.65714285714285,56.65714285714285
77.5%,55.45714285714284,55.514285714285705
78.0%,55.45714285714284,55.514285714285705
78.5%,55.45714285714284,55.514285714285705
79.0%,55.45714285714284,55.514285714285705
79.5%,55.45714285714284,55.514285714285705
80.0%,55.45714285714284,55.514285714285705
80.5%,55.45714285714284,55.514285714285705
81.0%,60.17142857142857,60.25714285714285
81.5%,60.17142857142857,60.25714285714285
82.0%,60.17142857142857,60.25714285714285
82.5%,60.79999999999999,60.94285714285715
83.0%,60.79999999999999,60.94285714285715
83.5%,60.79999999999999,60.94285714285715
84.0%,59.8,59.74285714285715
84.5%,59.8,59.74285714285715
85.0%,59.857142857142854,59.94285714285713
85.5%,59.857142857142854,59.94285714285713
86.0%,61.71428571428571,61.62857142857142
86.5%,61.71428571428571,61.62857142857142
87.0%,60.74285714285714,60.914285714285704
87.5%,60.914285714285704,61.17142857142857
88.0%,62.8,62.542857142857144
88.5%,63.97142857142857,63.57142857142857
89.0%,63.485714285714295,63.51428571428571
89.5%,63.97142857142856,63.62857142857142
90.0%,64.85714285714285,64.6
90.5%,66.31428571428572,66.14285714285714
91.0%,67.25714285714285,67.28571428571428
91.5%,67.57142857142856,67.17142857142858
92.0%,68.17142857142858,67.88571428571427
92.5%,68.60000000000001,68.65714285714286
93.0%,70.17142857142856,70.22857142857143
93.5%,70.22857142857143,70.14285714285714
94.0%,71.19999999999999,71.02857142857142
94.5%,72.37142857142857,72.0
95.0%,71.57142857142857,72.05714285714285
95.5%,72.65714285714286,72.05714285714285
96.0%,72.65714285714286,72.77142857142857
96.5%,72.02857142857142,71.85714285714288
97.0%,72.85714285714285,72.85714285714285
97.5%,72.51428571428572,72.14285714285715
98.0%,72.37142857142858,71.97142857142858
98.5%,71.37142857142858,71.37142857142857
99.0%,73.31428571428572,73.17142857142856
99.5%,73.31428571428572,72.65714285714286
