,PRESS_PCA,PRESS_NRM
dim10,2282060711207.028,2284895678235.718
dim11,1833732207411.5132,1830417554343.7615
dim12,2005526564006.5457,2006968533215.2822
dim13,1933379490832.7114,1934123128423.2717
dim14,2046010833560.363,2048360256227.9585
dim15,1882279148581.4307,1878142266512.98
dim16,1953917336228.8608,1960193600625.6309
dim17,2148425052591.5806,2156388682810.6743
dim18,2064523209690.3328,2075433647642.594
dim19,2125376456869.677,2142454042301.1416
dim20,2230982048488.5205,2246659252327.467
dim21,2184863637323.8818,2196658940310.7822
dim22,2172665965452.5632,2184197922844.3022
dim23,2397441658066.8906,2420694258963.8257
dim24,2403178262807.8257,2426828497582.3413
dim25,2200593499696.048,2212254279111.9243
dim26,2196432867403.2527,2213613405471.816
dim27,2181501586911.3887,2196679439524.2158
dim28,1943042848711.8003,1956736399007.1177
dim29,1922291592522.8545,1936910773244.343
dim30,1890428607974.3372,1904085732205.9214
dim31,1886166755744.0828,1899977499989.1936
dim32,1868174449812.7415,1878534402234.1128
dim33,1862334533354.6423,1872280866792.958
dim34,1834650205186.558,1842374179380.75
dim35,1796428345789.8928,1801910740309.1333
dim36,1841023889459.8303,1852375890716.7358
dim37,1822717807712.1895,1833800119433.5017
dim38,1709146315398.207,1710857819166.5671
dim39,1685655165960.2393,1684909142042.5613
dim40,1699107165872.2249,1697905275682.0464
dim41,1714658116731.0376,1716239640479.4739
dim42,1774959246089.1433,1783653869812.0205
dim43,1668176333946.134,1669705880180.046
dim44,1682465651816.0151,1664038438324.741
dim45,1622659486722.0354,1618492615123.9624
dim46,1668196728916.7844,1678883284625.6929
dim47,1668147144726.2876,1629778069264.017
dim48,1663718763513.5752,1611627840230.364
dim49,1631041102008.7393,1608247054017.1587
dim50,1610084431828.1477,1584052584192.4663
dim51,1654486309640.0518,1650976671845.5537
dim52,1679062570822.517,1676593492801.8735
dim53,1659319984256.8972,1653201344000.9712
dim54,1649028624169.4072,1648640719260.687
dim55,1631817085185.5122,1627842393949.1567
dim56,1630516622771.8433,1628785267980.9583
dim57,1605923876655.4702,1602582512000.6792
dim58,1618833217894.8142,1617953233390.0808
dim59,1627244386516.83,1627099682530.4912
dim60,1644503885025.0178,1646398015551.5505
dim61,1640387321353.6511,1641132990174.8535
dim62,1610564802953.92,1612163597079.4297
dim63,1625431970130.2786,1627640917035.1772
dim64,1597506455462.5732,1586401518575.0168
dim65,1601273537966.6902,1593678456024.3926
dim66,1593069335122.8442,1591437775623.1387
dim67,1512714123104.3174,1511245788254.9768
dim68,1532600135041.6187,1532082598904.4358
dim69,1541676440946.1775,1541849665690.536
dim70,1538068892422.7676,1537675103274.75
dim71,1542569344113.2422,1542302970205.5295
dim72,1551704390439.9204,1552178137925.4463
dim73,1546544227354.3157,1547130144862.5825
dim74,1544538550020.157,1544988216336.6973
dim75,1547354756216.19,1547594205974.1306
dim76,1546871284394.5803,1547178596253.0554
dim77,1557277170633.425,1557017147045.8672
dim78,1528447382079.3472,1527977996399.1177
dim79,1529469015937.6123,1529126598576.0183
dim80,1530123686705.9976,1529606901372.835
dim81,1479960810193.479,1477714773545.1445
dim82,1464437446708.4885,1461857128569.8208
dim83,1472520527154.5005,1470034753167.635
dim84,1477840289573.9497,1475583272448.9263
dim85,1466382680960.212,1463846013951.028
dim86,1464374756750.9084,1461970695412.711
dim87,1468091851940.7449,1465690739539.219
dim88,1460152761216.4043,1457592149823.8054
dim89,1463457161941.5967,1460989487772.7124
dim90,1465000438962.769,1462742338176.4324
dim91,1460924781709.4802,1458725388163.2754
dim92,1458760292948.854,1456604825220.3804
dim93,1452848914007.0513,1450220977792.7744
dim94,1393755736281.3875,1430389126696.943
dim95,1442854181095.6587,1439819021439.21
dim96,1438966637642.5234,1435599163547.342
dim97,1442921083621.7178,1439515885851.2568
dim98,1426457571663.5774,1422852958220.832
dim99,1421580281981.1506,1417497295878.864
dim100,1420223281498.172,1415917931312.774
dim101,1424956311214.2014,1420548048250.5212
dim102,1427411447900.4377,1423049480574.7961
dim103,1394216431164.9343,1389320501806.2742
dim104,1397386708010.3652,1392468622654.9858
dim105,1399246427700.8372,1394278143735.5605
dim106,1405123261104.1604,1400290633581.4292
dim107,1419256614107.154,1414878937315.6304
dim108,1435393560015.8276,1432006627804.5078
dim109,1436480473561.9775,1433070181800.1772
dim110,1436410450520.727,1432628643345.9316
dim111,1425164543341.0266,1421130505377.5166
dim112,1409183730227.1902,1424235806009.3042
dim113,1416363476191.6172,1398847060987.7656
dim114,1417535181764.7954,1413242765136.5845
dim115,1420333264790.8542,1415746527789.8147
dim116,1419547974319.2493,1415040112318.6355
dim117,1412045848407.3718,1407397518880.779
dim118,1406217820707.704,1401436497181.8105
dim119,1407468592275.5752,1401621534000.0151
dim120,1427435372843.4424,1421451074746.279
dim121,1432765264747.1797,1426786736469.1091
dim122,1438192161463.161,1432338863319.3203
dim123,1433302890889.4553,1427455073583.7615
dim124,1428390152027.7275,1422434855024.5166
dim125,1438486064804.7449,1432937801301.7183
dim126,1437451583937.9666,1432041014311.9614
dim127,1438154631990.1694,1432717548713.6426
dim128,1435961151165.4036,1430615454416.125
dim129,1437042591538.0261,1431808615383.9863
dim130,1431477198872.8508,1426386831053.2275
dim131,1451864347470.069,1446744085902.1033
dim132,1439025897830.7188,1433894011254.2275
dim133,1435850742520.4856,1430368194632.4644
dim134,1436005145398.9248,1430551469589.851
dim135,1437925951653.5332,1432833657827.4573
dim136,1460606870091.0146,1456090007929.1882
dim137,1451309898120.88,1446099157210.37
dim138,1453797754323.165,1448691563166.9417
dim139,1462835423988.4043,1458022483390.7085
dim140,1457838022394.731,1452808839312.5376
dim141,1465268361735.4639,1454276498050.7349
dim142,1469657443275.3223,1464740307604.0076
dim143,1468370597146.9058,1463358278235.9146
dim144,1484909029808.0688,1480208771714.6025
dim145,1470140727769.1426,1464994006176.3345
dim146,1467220959053.462,1462594377976.0938
dim147,1466285608222.6396,1461653166711.2852
dim148,1438366443540.3704,1433626770862.0078
dim149,1436938645839.5767,1473656452095.792
dim150,1459214039133.7854,1454990789457.4424
