,PRESS_PCA,PRESS_NRM,PRESS_diff
dim10,3185962350998.3794,3207582068551.0254,21619717552.646
dim11,2675062752872.51,2686817388477.9126,11754635605.402832
dim12,2390737314368.1304,2405398724451.1,14661410082.969728
dim13,2313799856960.763,2334950105033.339,21150248072.575684
dim14,2154732559399.317,2176553035863.804,21820476464.486816
dim15,2106918410637.0176,2126118149726.872,19199739089.85449
dim16,2065576288198.636,2089675011325.6443,24098723127.0083
dim17,2026722820987.768,2052326984611.335,25604163623.56689
dim18,2042940557978.077,2069776089880.3992,26835531902.322266
dim19,1989559509471.094,2012502144649.5232,22942635178.4292
dim20,1975733773227.5671,2001026734687.379,25292961459.811768
dim21,1941327974217.6487,1963610711456.4185,22282737238.76977
dim22,1904277626502.584,1926170843445.7075,21893216943.12353
dim23,1884753087106.548,1908991653803.3127,24238566696.765137
dim24,1862504624155.109,1885840437120.569,23335812965.460205
dim25,1831862897534.935,1850347597581.9016,18484700046.96656
dim26,1810937054040.047,1828206295180.472,17269241140.424805
dim27,1786118264729.974,1798185209476.6604,12066944746.68628
dim28,1769462020199.9795,1780971268307.547,11509248107.567629
dim29,1759876648609.7422,1772920640692.6997,13043992082.95752
dim30,1757163346338.5615,1769720222979.3096,12556876640.748049
dim31,1752206247033.63,1761637224521.75,9430977488.120115
dim32,1736421295523.502,1747375731899.017,10954436375.515137
dim33,1729823809974.1003,1741534930787.3718,11711120813.271484
dim34,1717559942762.8506,1728364673760.036,10804730997.185305
dim35,1710316309134.7542,1720166772719.1968,9850463584.442629
dim36,1698189886863.2632,1707679837933.5874,9489951070.32422
dim37,1692460008970.8804,1700442696747.544,7982687776.663574
dim38,1678558170160.2322,1685456856981.4907,6898686821.258545
dim39,1671052387325.4546,1677893251559.3262,6840864233.871582
dim40,1652179371637.525,1657018999017.6753,4839627380.150391
dim41,1643144133460.4556,1647902419677.1094,4758286216.653809
dim42,1633088488921.1174,1636167474959.3684,3078986038.2509766
dim43,1627943099216.2993,1629400746681.3762,1457647465.0769043
dim44,1624725811518.2312,1625232544756.963,506733238.7316895
dim45,1621862672978.1765,1622258186396.0327,395513417.8562012
dim46,1621555714046.1873,1621934030923.381,378316877.19384766
dim47,1611266331398.169,1610436853899.1465,-829477499.0224609
dim48,1610429513835.1606,1608986110789.2744,-1443403045.8862305
dim49,1605222991496.5227,1603728786437.1912,-1494205059.331543
dim50,1597353728759.6226,1595518390698.595,-1835338061.027588
dim51,1601268007677.4382,1599774713248.6155,-1493294428.822754
dim52,1602963008660.0803,1601145495249.2444,-1817513410.8359373
dim53,1595404533663.2222,1593697278422.759,-1707255240.4631348
dim54,1597771257490.865,1595621036714.131,-2150220776.7338867
dim55,1598494910419.694,1596934136130.031,-1560774289.663086
dim56,1595728068627.8345,1594511385569.2017,-1216683058.6328125
dim57,1594609320386.9265,1593815573709.9097,-793746677.0168457
dim58,1592987440771.9375,1591533764937.0034,-1453675834.934082
dim59,1588982050189.595,1587130983252.1135,-1851066937.4814453
dim60,1588321453347.944,1586716411596.4211,-1605041751.5229492
dim61,1588201900365.439,1584761813008.1553,-3440087357.2836914
dim62,1585362847994.107,1581414469742.5498,-3948378251.557129
dim63,1583612689986.0718,1579923694746.121,-3688995239.950684
dim64,1583549137330.6372,1579965000079.565,-3584137251.0722656
dim65,1582774450584.2156,1579191165905.3335,-3583284678.88208
dim66,1583896936601.3691,1580084272343.7693,-3812664257.5998535
dim67,1584928036259.3972,1581304973860.3508,-3623062399.046386
dim68,1586255520432.2637,1582937463803.47,-3318056628.793701
dim69,1585782550079.59,1582472683287.8628,-3309866791.727295
dim70,1583038094648.5825,1579278189735.363,-3759904913.2194815
dim71,1587179889589.9387,1583884161679.196,-3295727910.742676
dim72,1589735412980.4814,1586129532652.2576,-3605880328.223877
dim73,1584161073173.8345,1580014772698.6309,-4146300475.203613
dim74,1583677033186.9685,1579344875412.561,-4332157774.407471
dim75,1578411536882.065,1574146254227.704,-4265282654.36084
dim76,1572593125487.2268,1568412525252.3716,-4180600234.8552246
dim77,1572165447013.6655,1569418294590.4563,-2747152423.2092285
dim78,1572052932820.554,1568001203452.9417,-4051729367.6123047
dim79,1572277642629.4607,1568097191939.5696,-4180450689.891113
dim80,1571073468388.262,1567633949653.1394,-3439518735.1225586
dim81,1571884393959.7922,1567848780183.2937,-4035613776.498535
dim82,1568145735920.5244,1564103548600.2383,-4042187320.286133
dim83,1569064422643.554,1565208360823.0566,-3856061820.4973145
dim84,1566675042069.48,1562035876681.038,-4639165388.441895
dim85,1563226823363.693,1558710120051.5034,-4516703312.189697
dim86,1563508509807.1028,1559395053156.2583,-4113456650.8444815
dim87,1568020769809.5127,1564285755911.4822,-3735013898.0305176
dim88,1569927732080.6465,1566269913224.587,-3657818856.05957
dim89,1569473653210.0354,1565221553894.605,-4252099315.43042
dim90,1567020080302.7346,1562937398546.045,-4082681756.689697
dim91,1569041216167.5305,1564568768054.3804,-4472448113.1501465
dim92,1571168862318.2903,1568507528765.5068,-2661333552.783448
dim93,1572886958018.724,1568503808132.4397,-4383149886.284424
dim94,1575455441973.435,1570773385051.295,-4682056922.140137
dim95,1580115300362.2102,1576062773028.0378,-4052527334.1723633
dim96,1583105930326.3218,1578936379054.6274,-4169551271.694336
dim97,1586594400902.0503,1583129198831.2275,-3465202070.822754
dim98,1582275853487.425,1578971012988.708,-3304840498.717041
dim99,1580541576657.5088,1576848748752.6904,-3692827904.81836
dim100,1582750360682.6074,1578496697754.1829,-4253662928.424561
dim101,1578347123259.6008,1574411908312.2195,-3935214947.381348
dim102,1579317227838.343,1575779164411.8928,-3538063426.450196
dim103,1580320995434.333,1576237299361.2517,-4083696073.081299
dim104,1586611809476.465,1582342776853.818,-4269032622.6469727
dim105,1588490995525.137,1584531582638.618,-3959412886.519043
dim106,1590334666266.7678,1586655206394.0718,-3679459872.696045
dim107,1595500692034.7373,1591812541756.8274,-3688150277.909912
dim108,1598104297769.417,1594027913505.484,-4076384263.9331055
dim109,1602796445760.9673,1599393192925.3616,-3403252835.605713
dim110,1598829101161.9148,1595001440799.681,-3827660362.233887
dim111,1608912639205.3586,1605263177624.152,-3649461581.206543
dim112,1613480801705.1672,1610582233585.4373,-2898568119.7299805
dim113,1609406701595.6335,1606203234445.326,-3203467150.307617
dim114,1613886095889.917,1610672401148.748,-3213694741.1689453
dim115,1622534634625.5986,1620260300611.2434,-2274334014.3552246
dim116,1619832751016.1438,1616590215990.9216,-3242535025.222168
dim117,1629863366483.2678,1627458775712.6304,-2404590770.637451
dim118,1632096950369.9685,1629456847451.6316,-2640102918.336914
dim119,1633312650466.3586,1630549641418.265,-2763009048.09375
dim120,1638589078148.317,1636368813342.5476,-2220264805.769287
dim121,1638381258294.603,1635231972672.574,-3149285622.0290527
dim122,1640027275622.7925,1636233822080.5745,-3793453542.2180176
dim123,1643515969099.8682,1640246287011.568,-3269682088.300049
dim124,1643494197181.796,1639778610441.7998,-3715586739.9960938
dim125,1644108044272.1123,1640613139778.301,-3494904493.81128
dim126,1641534600201.2383,1637750628840.5354,-3783971360.702881
dim127,1644312268692.006,1640411167605.0637,-3901101086.942383
dim128,1650135157776.3306,1646377672600.4172,-3757485175.91333
dim129,1647420290250.8862,1644243798884.954,-3176491365.932129
dim130,1645344727986.5466,1641122550753.081,-4222177233.465576
dim131,1651225930847.2954,1647048795481.4397,-4177135365.855713
dim132,1652485201438.8862,1648779025760.0789,-3706175678.807373
dim133,1658723502293.1328,1655204748835.214,-3518753457.918701
dim134,1656858301824.1973,1652974756527.798,-3883545296.39917
dim135,1669791021053.5847,1666269815712.8523,-3521205340.732422
dim136,1670333141974.8765,1666930230370.713,-3402911604.163574
dim137,1677392437831.7554,1674337155984.7324,-3055281847.022949
dim138,1680047615981.954,1678290157070.9978,-1757458910.9562988
dim139,1681847307099.3584,1680604894323.5156,-1242412775.8427734
dim140,1683466849095.7185,1682614502060.88,-852347034.838623
dim141,1683177992231.2656,1682204868364.088,-973123867.1777344
dim142,1682177626160.348,1681055444481.4575,-1122181678.8903809
dim143,1692138785233.8015,1691706472209.4343,-432313024.3671875
dim144,1688597358607.2158,1688417885143.1309,-179473464.08496094
dim145,1687821253310.183,1686400700726.243,-1420552583.9401855
dim146,1691606784354.1406,1690879214048.8328,-727570305.3078613
dim147,1694397311930.6018,1693956201304.2424,-441110626.359375
dim148,1699619381564.189,1699475170026.239,-144211537.94995117
dim149,1695812542874.444,1694976166554.6863,-836376319.7578125
dim150,1707324930311.7278,1707108642035.6582,-216288276.06958008
