,dim_PCA,percent_NRM,PRESS_PCA,PRESS_NRM,PRESS_diff,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff
80.0%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
80.5%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
81.0%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
81.5%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
82.0%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
82.5%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
83.0%,3,84.34014103191994,1771562667869.8774,1771551420469.7104,-11247400.166992188,45138667547.32964,39538549574.38841,637459939623.9661,240106927406.6621,101720815275.77936,118689472985.16226,64548826437.042625,57060135655.00574,39219281633.572556,428080051730.9689,45138700210.78044,39538324185.28261,637452055359.512,240100245360.50162,101721067528.96312,118694750048.91614,64548915476.09468,57060159199.77099,39219227365.75406,428077975734.1349,0.9092132723353641,0.9092135099918274,2.376564632866618e-07
83.5%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
84.0%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
84.5%,4,87.30016609734363,5448339335980.632,5448310760065.959,-28575914.672851562,122614649598.8236,45697171100.02762,4005831219233.5938,441218091161.6365,101922375742.59842,106276916304.57637,66768979182.11316,67042770967.7548,51684333167.34723,439282829522.1593,122621207178.62683,45694770938.56279,4005795213882.685,441209379463.9184,101922645326.99498,106283701625.46216,66768987600.959854,67047134713.40333,51684346311.40111,439283373023.94415,0.8237828124708774,0.8237823266588757,-4.858120016271172e-07
