,dim_PCA,dim_PCA_std,percent_NRM,percent_NRM_std,PRESS_PCA,PRESS_NRM,PRESS_PCA_std,PRESS_NRM_std,PRESS_diff,PRESS_diff_std,PRESS_pVal,PRESS_PCA_c1,PRESS_PCA_c2,PRESS_PCA_c3,PRESS_PCA_c4,PRESS_PCA_c5,PRESS_PCA_c6,PRESS_PCA_c7,PRESS_PCA_c8,PRESS_PCA_c9,PRESS_PCA_c10,PRESS_NRM_c1,PRESS_NRM_c2,PRESS_NRM_c3,PRESS_NRM_c4,PRESS_NRM_c5,PRESS_NRM_c6,PRESS_NRM_c7,PRESS_NRM_c8,PRESS_NRM_c9,PRESS_NRM_c10,cosine_PCA,cosine_NRM,cosine_diff,cosine_diff_std,cosine_pVal
80.0%,2.63,0.48280430818293263,83.50283196672406,1.3153093861575078,1797325197789.4429,1797344541758.1946,234497071950.2791,234482621880.04248,19343968.75105713,304108960.94837064,0.005762911416070182,46501039127.56257,40243035532.537384,639048760262.4872,261234709961.8835,99775520609.5588,115084136954.9861,65972263991.172775,57681179004.37838,35535436860.31499,436249115484.56146,46501376800.243195,40243101935.33776,639040476104.1704,261232168107.49817,99776046317.72922,115085865580.07323,66002746793.748116,57681356516.31023,35535624158.36941,436245779444.7145,0.9085717505850088,0.9085750304667315,3.279881722797473e-06,2.9787050625091187e-05,0.08811814815717452
80.5%,2.89,0.31288975694324056,84.39293354406308,0.8755986984160536,1875022736028.3545,1875026432826.205,276188460103.0621,276164283905.9697,3696797.850383301,328675649.13544065,0.010628687688281067,46710646668.91776,40291586578.192955,713135413881.7828,258597838281.73453,100244500161.20996,116021383013.95805,65986689163.12489,57891253791.452354,39113801783.21513,437029622704.7662,46711061459.48904,40291859405.08901,713122574390.1703,258581669063.23438,100245035768.80902,116024585611.08438,66017129502.62521,57891536095.34957,39114051109.79035,437026930420.56396,0.9057209283116794,0.9057237986640172,2.8703523383399878e-06,3.0069913159604867e-05,0.13473933100822336
81.0%,2.99,0.09949874371066199,84.72162466921385,0.499277297350096,1914626628419.0613,1914631300102.1426,306793645169.3509,306773198894.6637,4671683.080891114,329260726.21300405,0.018682104456869655,46853496075.7753,40144690729.79819,743544780485.614,265946807463.3404,100118827660.43309,116724364903.72896,66035815169.29555,57927881866.13617,40198960488.19416,437131003576.74536,46853982124.46169,40144946253.23591,743530195979.4786,265931163905.8461,100119465951.09094,116728747277.7163,66066410683.01545,57928197315.79775,40199318258.47684,437128872353.0225,0.9042437116814672,0.9042464250525072,2.7133710402071907e-06,3.0103157379989452e-05,0.41121370964410997
81.5%,3.0,0.0,84.75094645113528,0.46254752530111415,1914792956563.8047,1914797615231.5537,306678447130.0055,306657979996.9561,4658667.748977051,329262343.8347628,0.018682104456869655,46849271399.08059,40135849290.62337,743815619550.3627,266013154849.30972,100077463339.67743,116804039956.39186,66020542897.16125,57923599683.536064,40231096820.47999,436922318777.1816,46849786269.994064,40136103041.890114,743800798963.4296,265997411622.1353,100078178955.08867,116808831803.44708,66051139983.77794,57923919347.0967,40231445344.237,436919999900.45685,0.9042526401611799,0.9042553667190398,2.7265578602686525e-06,3.010269336732604e-05,0.38248077552601834
82.0%,3.01,0.09949874371066199,84.78644634419203,0.4891279096495369,1952620748659.821,1952625064700.4656,468765665804.74524,468748062704.7962,4316040.644509277,329301011.731391,0.015642897586608466,47577353963.777214,40144530083.389626,778982785761.805,267692708602.30542,100072360120.68497,116704139147.45436,66000392701.232346,58050328002.78888,40429226489.00534,436966923787.3778,47577864274.71177,40144773269.6446,778968967065.4414,267675402455.00687,100073077226.9416,116708936765.87222,66030988563.56863,58050619221.18051,40429573564.875175,436964862293.2223,0.9034915134936063,0.903494328323928,2.814830321894446e-06,3.0110286572706904e-05,0.3374113464376355
82.5%,3.08,0.2712931993250109,85.0161219718829,0.7254635976274728,2213593543922.545,2213603569668.834,1079057496151.3009,1079087492869.4048,10025746.288735352,341457159.1041294,0.020857486260371746,51557922160.53307,40856509559.32214,1022342685916.1924,280711863298.4176,100152009478.159,115836245239.34422,66120937235.99658,58514065966.79391,41411747942.47797,436089557125.30835,51558769333.84475,40856362929.51722,1022339181642.1796,280691114208.90796,100152593590.87628,115840371580.03975,66151477318.34319,58514493818.728874,41412092702.814064,436087112543.5822,0.8979815082649614,0.8979845253466731,3.017081711799152e-06,3.0129748312305454e-05,0.1496812949935662
83.0%,3.32,0.46647615158762373,85.75382295666532,1.1377277686889116,3046827132889.645,3046818625399.708,1793306625364.0618,1793282704429.976,-8507489.938054198,367063380.5079458,0.035057542018110247,66435240394.614815,41904994788.9709,1790280297951.9495,323511576455.7609,100337619106.43176,114017612985.71442,66468685067.64422,60850946973.239006,45159473554.09312,437860685611.2275,66437554822.66093,41901436132.75466,1790272252183.6897,323479031436.4645,100338216953.19655,114021443654.13783,66499100674.12074,60851540011.784485,45159746730.53638,437858302800.36273,0.8801959642249286,0.8801999820962179,4.017871289210273e-06,3.063600789829628e-05,0.07660439763601899
83.5%,3.68,0.46647615158762373,86.77649336112927,1.0494280235198907,4481994178016.579,4481989496985.18,2248265512422.223,2248317536283.256,-4681031.3992700195,284394000.06012034,0.24100890272556064,97659644671.26128,44874699999.64613,3109865764386.642,393618153934.6323,100996116997.1585,108996814819.69739,66874649799.44542,63819836695.07997,49866161397.206085,445422335315.8098,97669159470.57426,44870038517.09404,3109879610943.7676,393591824073.97144,100997222751.59735,109001031175.48235,66874629790.371765,63822130754.271286,49866320912.94766,445417528595.10406,0.8510995763711547,0.8510991866114945,-3.897596600854758e-07,1.226775330620342e-05,0.4555970482246179
84.0%,3.96,0.19595917942265428,87.55694748721565,0.5099265612359235,5538332510778.33,5538346901673.434,1867167358082.273,1867238808728.0654,14390895.104343262,316184643.9772846,0.9725715413852294,118525101286.53362,48412738685.37799,4079168474598.5,448008933740.788,101247790776.21803,106233946854.57715,67487624681.956345,66201081703.891846,52643832777.090546,450402985673.39703,118539156009.44763,48408808304.94804,4079205572384.3486,447978875899.2697,101248665468.58365,106234702668.99274,67487587699.29015,66204260164.47707,52643901586.33372,450395371487.7429,0.8291294061307417,0.8291284863309427,-9.197997987642203e-07,1.373087387339482e-05,0.9260348271927795
84.5%,4.0,0.0,87.66096270295165,0.33276965398006003,5657686244774.074,5657715043865.858,1739096620943.992,1739151201533.8503,28799091.787768554,294299711.2400455,0.7753522914731348,121871696423.63164,48577143284.19263,4188027432245.5938,455059649440.2726,101305579244.9733,105623616043.05551,67506400882.128204,66525896412.141174,53078114861.045364,450110715937.0401,121886268444.32347,48573447063.06094,4188066876525.5073,455041199181.3725,101306404401.33258,105624072548.388,67506204503.613945,66529141738.06252,53078125813.47503,450103303646.7238,0.8262418002175559,0.8262412172839531,-5.82933602686353e-07,1.3290154435648987e-05,0.9698299436867753
