n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
49.2,51.45,54.03333333333333,52.05,55.44,56.28333333333333,61.11428571428571,61.925,61.94444444444444
46.9,43.55,55.86666666666667,54.475,55.8,57.03333333333334,57.4,61.8375,62.511111111111106
48.7,50.35,54.63333333333332,52.05,55.54,57.33333333333334,58.457142857142856,59.275,62.84444444444444
32.3,45.8,55.50000000000001,53.275,55.3,56.5,63.9,65.5625,64.88888888888887
42.6,52.7,57.83333333333333,54.4,55.26,55.68333333333333,56.38571428571429,58.3,63.83333333333334
38.2,47.3,45.33333333333334,52.85,51.48,55.21666666666667,57.20000000000001,62.625,62.722222222222214
48.9,51.3,52.0,56.575,57.26,59.53333333333333,59.65714285714285,59.4125,63.26666666666666
53.7,51.45,54.76666666666667,55.35,64.44,62.849999999999994,63.028571428571425,62.4375,62.48888888888889
48.0,52.55,54.43333333333333,52.175,52.94,56.56666666666665,59.599999999999994,61.3875,62.611111111111114
54.7,49.3,55.83333333333333,53.975,56.22,56.63333333333333,61.77142857142858,63.8,64.21111111111111
34.7,49.6,53.23333333333333,56.1,58.32,57.45,61.74285714285714,63.1875,63.755555555555546
39.3,52.35,50.76666666666666,53.175,57.44,58.86666666666665,58.028571428571425,62.075,63.66666666666666
47.5,47.5,57.03333333333334,56.625,59.28,57.3,57.62857142857143,61.9375,62.18888888888889
52.8,57.55,58.73333333333334,59.925,58.24,57.51666666666667,57.5,62.1375,63.288888888888884
42.9,49.5,53.5,56.325,59.68,59.53333333333334,58.12857142857143,57.825,61.96666666666667
49.1,50.0,60.033333333333324,57.25,57.76,58.4,56.914285714285725,56.15,62.56666666666666
66.6,55.4,50.03333333333333,52.8,57.7,58.44999999999999,59.05714285714285,59.2,62.099999999999994
40.0,48.15,51.400000000000006,56.275,57.62,56.73333333333334,58.471428571428575,63.9875,63.444444444444436
46.0,51.45,46.7,57.075,57.78,57.11666666666666,61.72857142857142,63.2375,63.688888888888876
47.6,49.6,54.96666666666667,54.35,57.16,58.35,58.52857142857143,62.9,62.1
38.1,48.95,59.16666666666667,59.7,61.74,58.03333333333334,60.12857142857143,63.8875,62.81111111111111
46.1,57.35,58.29999999999998,56.9,58.76,59.00000000000001,58.785714285714285,59.175,62.277777777777786
41.3,57.3,56.93333333333334,57.925,57.34,57.43333333333333,62.585714285714296,63.3125,63.722222222222214
43.7,45.45,53.4,55.5,62.02,64.15,62.328571428571415,62.375,63.0
49.0,65.45,63.86666666666666,60.325,61.4,60.96666666666667,62.05714285714285,62.075,62.03333333333333
35.5,46.1,53.49999999999999,56.825,57.54,57.60000000000001,62.714285714285715,62.5,62.211111111111116
49.9,48.45,56.26666666666666,55.675,56.46,57.4,60.79999999999999,62.05,64.22222222222221
48.0,49.05,51.1,54.75,55.44,55.400000000000006,56.114285714285714,61.6125,62.544444444444444
45.5,52.65,59.10000000000001,57.975,56.06,61.10000000000001,61.72857142857143,63.6,63.75555555555557
54.4,55.15,50.56666666666666,53.95,56.38,56.06666666666667,59.457142857142856,62.7125,63.2111111111111
39.6,46.65,54.2,52.6,54.0,55.18333333333333,56.37142857142858,62.05,62.777777777777786
45.0,54.6,49.8,52.475,51.96,52.78333333333334,59.11428571428571,61.65,62.54444444444444
37.7,51.8,51.73333333333333,51.95,55.46,52.93333333333333,55.5,61.5375,61.36666666666667
64.8,53.7,52.9,61.225,61.78,60.43333333333333,60.29999999999999,59.9125,62.5
48.9,44.85,52.33333333333333,56.8,56.48,56.46666666666666,62.01428571428573,62.8875,63.25555555555556
50.0,56.4,55.03333333333334,54.525,55.58,59.849999999999994,59.92857142857143,60.9375,62.9
44.0,45.25,51.13333333333333,53.275,56.22,59.63333333333335,57.99999999999999,60.9375,62.27777777777777
39.4,53.9,58.2,61.725,61.0,58.88333333333333,60.6,65.025,62.26666666666665
45.9,50.2,54.399999999999984,57.425,57.3,60.0,57.74285714285714,58.3,62.422222222222224
50.5,45.5,53.19999999999999,52.925,58.9,59.96666666666666,60.18571428571428,60.0375,61.711111111111116
42.9,54.6,55.400000000000006,58.0,56.6,63.68333333333334,62.47142857142857,63.8,63.42222222222222
59.0,54.3,54.70000000000001,58.4,57.1,59.45,59.614285714285714,60.3875,63.38888888888889
40.0,46.65,49.29999999999999,57.75,58.2,57.70000000000001,58.51428571428573,63.9375,62.966666666666676
54.1,55.05,58.26666666666666,59.2,58.92,60.5,64.27142857142857,63.25,62.94444444444444
49.0,53.75,56.10000000000001,58.525,58.8,57.55000000000001,58.41428571428572,59.05,63.22222222222223
46.9,53.4,53.7,55.175,56.3,62.55,61.957142857142856,62.875,63.655555555555566
43.9,56.4,57.99999999999999,59.3,55.28,56.650000000000006,62.70000000000001,64.1375,63.02222222222222
41.0,45.25,47.93333333333334,54.825,55.66,55.26666666666667,58.82857142857142,63.0125,61.75555555555556
41.1,49.45,52.73333333333333,60.725,62.86,59.03333333333334,62.82857142857143,62.725,62.72222222222223
44.3,49.55,53.13333333333333,57.925,57.56,59.36666666666666,61.842857142857135,62.225,63.277777777777786
