n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
46.1,59.55,71.06666666666668,70.75,75.54,76.99999999999999,78.98571428571428,78.625,79.04444444444444
42.2,59.95,63.89999999999999,70.175,74.2,76.66666666666666,77.07142857142857,77.5125,78.01111111111112
45.7,61.85,70.83333333333333,67.45,73.02,75.41666666666667,76.5142857142857,76.9375,78.51111111111112
37.1,62.5,63.43333333333334,69.425,74.9,77.78333333333335,79.08571428571427,78.225,79.54444444444444
40.2,58.3,64.13333333333333,68.475,73.26,75.88333333333333,76.25714285714285,78.15,79.47777777777777
42.1,59.65,68.23333333333333,71.8,74.14,76.49999999999999,77.44285714285715,78.9125,78.92222222222223
41.3,59.25,72.83333333333331,73.45,76.16,77.31666666666666,76.37142857142857,76.9375,78.16666666666667
51.0,66.05,72.93333333333334,76.525,78.82,81.03333333333333,78.5857142857143,77.8625,77.83333333333333
43.3,57.9,65.19999999999999,70.675,74.02,73.41666666666666,75.88571428571429,76.9125,79.75555555555556
61.2,61.3,67.66666666666667,71.75,73.74,75.31666666666665,77.17142857142856,78.0625,78.66666666666669
49.3,63.0,67.33333333333333,71.275,71.58,73.51666666666667,75.6857142857143,77.2,78.7
41.2,58.05,64.3,68.425,73.96,76.01666666666667,75.58571428571427,77.675,78.67777777777778
61.4,59.35,64.33333333333331,71.025,71.84,74.85,77.62857142857142,79.45,79.72222222222221
40.8,60.6,61.9,69.475,70.04,72.78333333333333,75.87142857142858,77.95,79.10000000000001
48.1,59.35,66.13333333333334,71.3,72.98,76.9,76.58571428571427,76.7875,78.94444444444444
53.1,55.2,66.26666666666667,72.6,75.32,75.41666666666666,76.5,77.65,78.32222222222222
52.6,67.75,68.06666666666666,71.125,74.7,76.26666666666667,77.6857142857143,78.025,79.05555555555556
51.4,62.25,68.43333333333334,73.075,74.32,76.43333333333332,78.27142857142857,79.0125,80.12222222222222
53.0,62.7,68.93333333333332,73.975,75.86,77.49999999999999,78.64285714285714,79.125,78.87777777777778
44.0,58.95,69.60000000000001,68.35,72.8,74.88333333333333,76.4,78.125,78.89999999999999
65.4,65.5,72.16666666666666,76.325,76.32,79.38333333333333,77.99999999999999,77.875,80.07777777777777
44.2,58.0,67.19999999999999,69.625,74.72,78.15,79.72857142857143,78.7875,79.51111111111112
44.5,62.05,67.83333333333334,67.775,73.24,76.03333333333333,78.1,77.7375,79.13333333333334
47.8,57.3,64.3,73.3,72.78,74.53333333333333,75.22857142857143,78.1125,79.82222222222222
44.5,68.9,70.4,71.825,76.52,78.93333333333334,78.25714285714287,78.8625,79.25555555555556
41.5,54.4,66.2,71.65,73.84,75.61666666666667,76.57142857142858,77.75,78.83333333333334
34.5,58.65,67.8,70.25,70.16,75.45,75.94285714285714,78.25,79.06666666666666
48.1,68.35,70.93333333333334,74.375,74.76,75.31666666666666,77.87142857142857,79.1875,78.53333333333332
40.7,61.3,69.66666666666667,72.95,75.12,76.5,75.48571428571428,76.0375,78.46666666666667
37.9,60.2,68.83333333333333,73.525,78.0,78.01666666666667,79.27142857142857,80.1125,80.65555555555554
53.5,60.75,66.96666666666667,69.825,71.34,74.01666666666667,77.27142857142857,78.4625,78.85555555555555
39.1,63.8,66.73333333333333,70.95,75.0,76.99999999999999,76.89999999999999,77.9875,78.83333333333333
46.4,63.65,66.53333333333333,72.625,75.2,75.1,78.41428571428573,79.225,79.34444444444445
54.1,65.0,71.06666666666666,76.225,75.46,76.14999999999999,77.45714285714287,78.8125,80.10000000000001
48.6,60.55,70.33333333333333,67.625,71.74,75.18333333333334,75.72857142857143,78.8875,80.2
44.0,62.05,63.33333333333333,72.35,71.86,74.48333333333333,75.71428571428572,76.9625,78.5888888888889
55.0,63.8,67.86666666666667,69.675,71.64,71.76666666666667,73.9857142857143,76.8625,78.42222222222222
56.6,63.15,71.26666666666667,76.7,78.12,78.48333333333333,78.05714285714286,79.7625,79.15555555555555
51.4,64.75,68.8,68.175,71.76,73.51666666666667,76.78571428571428,78.275,78.27777777777777
40.3,55.5,61.60000000000001,69.425,70.96,75.11666666666666,77.31428571428572,77.9875,79.19999999999999
43.1,61.9,72.13333333333333,71.725,74.44,76.63333333333335,78.01428571428572,79.4875,79.22222222222221
51.7,61.85,62.16666666666666,71.7,72.68,75.65,78.3,79.325,78.56666666666666
49.4,59.75,67.89999999999999,70.65,74.2,75.08333333333334,77.78571428571429,77.0375,78.07777777777777
48.3,63.6,71.43333333333334,71.525,74.34,74.58333333333333,76.1,76.575,78.04444444444447
56.7,66.85,68.76666666666667,72.95,73.74,76.78333333333335,78.07142857142858,78.1625,79.0888888888889
46.9,63.6,69.99999999999999,71.1,71.98,75.03333333333335,77.64285714285715,79.025,80.26666666666665
40.5,64.2,66.66666666666666,71.15,72.8,76.75000000000001,76.3857142857143,79.0625,79.43333333333334
39.0,58.35,67.03333333333335,71.825,73.18,76.56666666666666,78.32857142857144,79.45,79.24444444444445
44.5,66.9,71.56666666666668,73.175,75.74,74.41666666666666,76.58571428571429,79.0625,78.66666666666666
40.0,62.75,67.6,72.825,75.98,77.63333333333333,78.58571428571429,79.2125,78.96666666666665
40.9,63.7,68.93333333333334,72.125,73.1,74.48333333333333,77.22857142857143,78.525,77.66666666666666
44.1,56.75,64.56666666666665,70.95,73.34,76.51666666666667,76.19999999999999,77.3625,79.56666666666668
44.3,58.6,65.99999999999999,70.15,72.84,75.85,77.38571428571427,77.7875,78.63333333333334
34.8,59.85,65.66666666666667,69.025,76.88,75.0,76.41428571428571,77.3125,78.9
46.0,58.1,67.2,69.925,72.96,77.0,78.61428571428571,78.375,78.91111111111111
42.5,63.2,68.73333333333333,68.925,73.14,74.13333333333333,76.22857142857143,77.25,78.62222222222222
47.2,60.05,63.5,70.125,73.52,73.96666666666665,76.22857142857143,75.8,79.02222222222223
58.3,61.25,63.96666666666667,67.725,73.06,74.63333333333333,78.92857142857143,80.325,80.78888888888889
47.0,58.65,66.7,70.25,74.1,76.23333333333333,76.24285714285713,77.9125,78.37777777777778
45.8,57.5,65.46666666666665,69.675,73.6,75.71666666666667,77.21428571428572,77.8875,78.99999999999999
42.9,61.9,69.56666666666666,72.1,75.56,75.33333333333333,76.28571428571428,78.025,78.2
35.6,53.1,65.46666666666667,69.55,75.14,73.51666666666667,77.14285714285715,78.725,80.3
41.6,54.8,64.9,69.8,74.84,76.66666666666667,78.04285714285714,80.6375,80.6
41.2,58.15,66.53333333333335,70.575,76.04,77.01666666666667,77.94285714285714,77.95,79.07777777777777
58.5,67.95,69.93333333333334,73.025,73.02,76.9,76.95714285714286,79.875,80.36666666666667
45.9,57.25,67.23333333333333,71.525,72.66,75.58333333333334,77.0142857142857,77.5375,79.65555555555557
