,PCA,NRM
60.0%,23.14583333333333,23.354166666666664
60.5%,23.32291666666667,23.385416666666664
61.0%,23.40625,23.458333333333336
61.5%,23.302083333333336,23.5625
62.0%,23.37499999999999,23.364583333333336
62.5%,23.375000000000004,22.916666666666664
63.0%,23.427083333333336,23.343749999999996
63.5%,23.249999999999996,23.385416666666664
64.0%,23.23958333333333,23.33333333333333
64.5%,23.427083333333336,23.17708333333333
65.0%,23.343750000000004,22.9375
65.5%,23.375,23.312500000000004
66.0%,23.458333333333336,23.14583333333333
66.5%,23.354166666666664,23.083333333333325
67.0%,23.4375,23.0625
67.5%,23.23958333333333,23.19791666666667
68.0%,45.20833333333332,45.38541666666666
68.5%,45.30208333333332,45.58333333333332
69.0%,45.45833333333334,45.40625
69.5%,45.27083333333333,45.36458333333335
70.0%,45.48958333333333,45.39583333333333
70.5%,45.44791666666667,44.97916666666668
71.0%,45.20833333333334,45.15625
71.5%,45.25,45.45833333333332
72.0%,45.35416666666666,45.40625000000001
72.5%,45.57291666666666,45.17708333333334
73.0%,44.91666666666666,45.5625
73.5%,45.19791666666666,44.95833333333333
74.0%,45.1875,45.30208333333333
74.5%,45.22916666666668,45.35416666666667
75.0%,45.23958333333332,45.5
75.5%,45.33333333333333,45.5625
76.0%,45.33333333333333,45.41666666666666
76.5%,45.25,45.30208333333334
77.0%,45.01041666666666,45.67708333333332
77.5%,45.59374999999999,45.14583333333334
78.0%,45.34375,45.35416666666666
78.5%,45.17708333333333,45.09375
79.0%,45.54166666666667,45.16666666666667
79.5%,45.28125,45.16666666666666
80.0%,58.38541666666667,58.54166666666666
80.5%,58.29166666666667,58.14583333333333
81.0%,58.28125,58.625
81.5%,58.5625,58.125
82.0%,58.19791666666666,58.45833333333335
82.5%,58.53125,58.44791666666667
83.0%,58.47916666666667,58.46875
83.5%,64.18749999999999,63.92708333333334
84.0%,63.97916666666667,64.33333333333333
84.5%,64.30208333333334,64.10416666666667
85.0%,64.14583333333333,63.99999999999999
85.5%,63.96874999999999,63.97916666666667
86.0%,63.93750000000001,64.27083333333333
86.5%,69.27083333333333,68.9375
87.0%,69.05208333333333,69.24999999999999
87.5%,69.3125,69.40625
88.0%,69.38541666666666,69.29166666666667
88.5%,71.58333333333333,71.65625000000001
89.0%,71.68749999999999,71.77083333333334
89.5%,73.48958333333334,73.67708333333333
90.0%,74.18749999999999,73.66666666666667
90.5%,77.61458333333333,77.875
91.0%,78.97916666666666,79.09375000000001
91.5%,81.46875,81.16666666666667
92.0%,84.71875,84.17708333333334
92.5%,86.67708333333334,86.39583333333334
93.0%,88.64583333333331,88.52083333333334
93.5%,88.72916666666669,88.70833333333334
94.0%,88.5625,88.84375
94.5%,88.08333333333334,87.78125
95.0%,87.5,87.56250000000001
95.5%,87.10416666666666,87.44791666666666
96.0%,87.1875,87.31249999999999
96.5%,86.95833333333334,87.40624999999996
97.0%,86.26041666666669,86.89583333333334
97.5%,85.22916666666664,85.23958333333334
98.0%,85.32291666666666,85.56249999999999
98.5%,84.47916666666666,85.32291666666666
99.0%,84.65625,85.20833333333334
99.5%,83.91666666666666,84.5
