n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
18.4,47.85,41.23333333333333,39.525,41.38,40.88333333333333,42.08571428571428,42.5,45.51111111111112
39.0,40.65,34.66666666666667,39.625,40.68,45.23333333333335,42.92857142857143,42.2625,45.07777777777776
27.7,35.6,41.2,36.1,39.52,43.96666666666666,41.357142857142854,45.7625,44.744444444444454
34.5,47.35,41.5,38.725,39.16,41.96666666666667,43.042857142857144,44.75,46.044444444444444
26.0,25.95,45.23333333333333,40.85,43.88,45.08333333333333,45.38571428571427,45.2375,44.33333333333332
16.5,39.85,18.7,39.8,45.16,42.31666666666666,44.22857142857143,43.675,44.17777777777776
38.5,17.75,41.7,41.85,43.4,21.38333333333333,44.1,45.4125,43.17777777777778
18.7,31.15,39.43333333333334,40.3,40.34,41.31666666666667,43.80000000000001,43.7,44.73333333333333
37.0,38.2,44.599999999999994,41.5,39.58,41.58333333333333,40.97142857142857,45.7875,44.4
21.4,22.05,41.63333333333334,35.4,41.5,41.05,21.77142857142857,42.3375,44.31111111111111
38.8,25.3,19.099999999999998,24.55,42.6,41.78333333333333,42.17142857142857,44.6375,44.36666666666667
23.4,33.1,40.33333333333334,20.625,24.28,42.83333333333334,45.82857142857142,42.325,43.555555555555564
43.9,21.95,44.50000000000001,38.075,40.08,41.9,44.81428571428572,43.875,44.17777777777778
14.4,42.65,42.53333333333334,20.375,41.14,44.1,42.528571428571425,42.3875,44.03333333333333
40.7,23.1,34.266666666666666,37.425,41.44,41.91666666666667,42.21428571428571,45.1125,43.6
15.5,41.2,41.0,37.3,22.66,42.4,42.942857142857136,42.2375,43.72222222222223
39.7,38.5,38.16666666666667,40.325,44.02,41.2,42.91428571428572,44.4,45.155555555555544
30.4,32.55,40.03333333333333,21.7,21.88,45.216666666666654,46.24285714285715,44.8625,43.677777777777784
15.7,38.3,37.266666666666666,19.5,43.58,41.31666666666667,42.24285714285714,43.7875,45.36666666666666
42.7,38.45,18.733333333333334,41.175,42.44,23.099999999999994,41.92857142857142,41.3625,45.077777777777776
38.2,16.0,38.2,22.325,37.88,43.38333333333333,43.31428571428572,42.525,43.86666666666665
22.1,47.1,23.8,36.575,24.1,43.73333333333334,44.38571428571429,43.7125,44.13333333333333
47.1,39.95,42.3,41.775,41.76,41.88333333333334,42.85714285714286,42.6125,43.63333333333333
38.0,40.9,46.33333333333332,39.425,40.82,41.06666666666667,42.614285714285714,42.575,43.9
39.0,31.55,38.99999999999999,23.025,43.26,43.38333333333334,42.24285714285715,42.3,44.98888888888891
40.1,30.25,39.333333333333336,40.125,41.62,45.31666666666667,42.55714285714285,42.975,44.81111111111111
19.1,39.3,41.26666666666666,40.0,41.82,41.94999999999999,41.28571428571429,44.05,44.94444444444444
31.7,23.15,34.1,22.0,43.88,43.83333333333334,41.900000000000006,41.75,44.22222222222223
21.7,42.8,39.699999999999996,43.425,41.82,40.21666666666667,44.77142857142857,43.1125,46.61111111111111
24.9,37.05,40.800000000000004,35.0,42.34,42.38333333333333,22.857142857142858,44.0625,43.33333333333334
23.1,33.0,18.266666666666666,21.4,39.76,41.21666666666666,43.31428571428571,44.1875,42.944444444444436
38.6,23.15,17.266666666666666,42.075,22.88,41.08333333333333,41.557142857142864,42.8875,44.29999999999999
26.2,42.3,42.8,38.5,39.58,41.2,42.78571428571429,23.375,44.288888888888884
39.5,40.9,39.3,35.8,39.88,41.75,43.614285714285714,43.075,43.56666666666667
34.4,47.3,39.53333333333334,36.65,42.24,42.61666666666667,22.985714285714284,42.8125,44.37777777777778
18.8,40.1,38.06666666666668,39.3,43.2,41.63333333333334,39.1,41.9625,43.26666666666666
15.4,34.95,39.4,42.45,42.94,42.45000000000001,40.31428571428571,42.5875,46.13333333333332
14.3,40.5,41.6,39.7,22.96,44.04999999999998,44.49999999999999,43.225,44.65555555555556
31.2,34.95,23.099999999999994,23.45,38.42,42.2,42.37142857142857,43.7,44.86666666666668
37.7,34.6,40.06666666666666,36.875,22.9,42.50000000000001,43.79999999999999,43.65,43.31111111111111
