n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
49.3,64.25,67.53333333333333,68.475,73.6,75.26666666666667,75.51428571428572,75.625,77.48888888888888
53.3,57.75,67.26666666666665,65.0,65.66,72.66666666666666,75.22857142857143,76.325,76.97777777777779
53.1,61.55,62.36666666666665,68.625,71.88,66.7,76.92857142857143,76.025,78.55555555555556
57.2,65.55,65.5,69.025,71.9,72.35,74.34285714285714,75.3125,77.15555555555555
52.2,58.65,60.66666666666667,67.125,68.28,72.75,74.19999999999999,75.4,75.69999999999999
49.6,61.15,62.49999999999999,63.075,73.32,73.89999999999999,74.82857142857144,76.3875,76.94444444444444
54.2,63.9,68.03333333333333,69.125,72.14,73.01666666666665,77.01428571428572,74.2625,78.07777777777777
42.3,59.65,62.16666666666666,70.45,71.64,75.31666666666665,75.4,74.5875,77.78888888888889
51.1,62.65,62.099999999999994,69.075,73.82,74.51666666666667,73.34285714285714,78.2875,77.96666666666667
58.6,61.85,62.09999999999998,69.4,73.08,74.23333333333333,73.91428571428573,75.575,77.87777777777778
