n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
30.8,47.0,48.76666666666666,49.825,51.5,52.29999999999999,56.95714285714287,57.9375,58.37777777777777
37.7,40.95,51.3,45.375,44.74,42.150000000000006,55.571428571428584,42.65,58.89999999999999
42.7,52.05,50.43333333333332,47.55,55.54,52.96666666666667,44.028571428571425,41.725,45.4
37.3,43.0,42.86666666666667,39.15,56.24,52.48333333333333,57.29999999999999,41.5375,58.28888888888888
42.0,37.25,40.96666666666667,36.275,38.46,52.5,58.32857142857142,54.9625,44.87777777777778
45.1,37.2,43.2,39.1,56.92,43.81666666666667,57.24285714285715,55.875,45.39999999999999
49.4,39.2,40.89999999999999,51.35,43.66,58.86666666666667,43.05714285714285,53.05,57.1
40.6,41.3,48.23333333333333,49.2,56.32,54.88333333333332,41.385714285714286,52.0625,57.922222222222224
35.1,43.75,38.13333333333333,36.425,40.76,50.48333333333334,56.942857142857136,42.85,55.088888888888874
44.3,40.55,38.699999999999996,56.1,55.08,51.93333333333334,58.04285714285714,53.375,56.6
49.2,45.35,46.46666666666666,43.75,57.86,43.38333333333333,53.357142857142854,58.1125,56.17777777777778
46.0,37.6,37.3,37.775,41.9,52.73333333333333,54.157142857142844,41.6375,58.488888888888894
31.7,48.15,45.36666666666668,55.6,43.58,44.28333333333334,42.1,55.7875,59.3
41.0,30.65,48.66666666666665,57.175,41.56,59.85,42.157142857142865,59.2125,61.777777777777786
61.5,46.25,35.1,52.175,49.28,43.38333333333334,46.31428571428572,58.1625,43.322222222222216
48.6,35.4,42.76666666666666,46.125,44.22,41.13333333333333,44.77142857142857,43.2,58.16666666666665
34.6,46.4,39.00000000000001,44.125,54.14,43.45000000000001,54.214285714285694,43.1625,57.811111111111124
31.9,44.9,39.83333333333333,43.925,50.58,58.48333333333333,40.4,43.9625,46.17777777777778
37.6,46.55,37.13333333333333,41.95,51.4,58.93333333333334,43.714285714285715,55.975,45.088888888888896
40.2,37.75,43.13333333333335,44.55,49.4,53.48333333333333,40.94285714285714,58.125,53.88888888888889
45.6,52.7,50.966666666666654,40.675,54.48,48.5,58.41428571428572,57.1625,56.099999999999994
40.7,44.55,41.66666666666668,40.825,49.36,43.41666666666666,55.085714285714296,58.675,58.988888888888894
33.4,37.2,35.699999999999996,46.8,52.82,53.2,45.87142857142858,56.1375,44.39999999999999
32.2,39.65,45.96666666666667,42.025,41.78,39.71666666666667,56.15714285714285,55.675,53.85555555555557
43.8,41.8,54.89999999999999,38.875,51.36,44.18333333333334,58.18571428571429,57.175,58.63333333333332
39.8,37.55,44.73333333333334,37.975,49.98,43.95,41.48571428571429,58.15,58.24444444444443
45.7,42.75,41.23333333333333,49.6,45.82,41.03333333333334,55.642857142857146,42.3125,57.744444444444454
44.1,38.35,32.96666666666666,41.825,53.1,40.45,41.7,44.825,56.3111111111111
51.5,37.7,36.43333333333334,43.975,56.5,42.98333333333334,58.54285714285713,57.8375,57.144444444444446
36.4,47.05,50.60000000000001,39.175,41.68,53.35000000000001,53.01428571428571,59.3875,43.76666666666667
37.2,46.9,42.1,54.7,42.28,42.21666666666667,53.5,55.0625,55.711111111111116
47.7,48.75,34.199999999999996,49.45,54.9,56.86666666666666,43.75714285714286,55.5375,56.077777777777776
50.6,36.4,50.93333333333334,45.925,50.28,42.93333333333333,57.17142857142858,42.0,55.60000000000001
33.8,38.95,50.23333333333333,48.575,37.92,53.01666666666667,56.099999999999994,57.425,59.56666666666666
38.6,38.5,49.6,35.875,57.24,56.43333333333333,53.52857142857143,55.3875,58.622222222222206
55.6,38.8,47.5,46.425,46.38,40.599999999999994,55.99999999999999,57.75,54.45555555555556
45.4,34.2,47.30000000000001,45.825,41.92,45.14999999999999,55.99999999999999,57.225,56.75555555555556
40.6,38.25,49.9,38.075,39.24,54.9,42.89999999999999,59.15,57.33333333333335
42.1,43.65,51.4,45.65,43.1,56.36666666666667,54.20000000000001,43.7125,55.80000000000001
37.4,39.25,52.76666666666666,37.225,54.46,42.01666666666666,52.514285714285705,55.7125,43.944444444444436
