n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
50.1,51.05,53.03333333333333,55.175,57.82,59.93333333333333,60.47142857142857,61.7625,64.24444444444447
57.3,50.45,53.0,57.3,47.34,58.533333333333324,59.971428571428575,61.5125,62.84444444444444
51.3,57.7,47.89999999999999,46.7,56.68,57.18333333333333,61.18571428571428,61.8875,63.255555555555546
44.4,40.5,56.79999999999999,54.55,57.32,49.63333333333332,61.34285714285715,62.0125,62.911111111111104
48.1,49.1,45.36666666666667,53.95,48.2,59.83333333333334,53.614285714285714,61.925,63.25555555555556
46.4,60.9,49.63333333333332,43.6,57.32,61.43333333333333,62.81428571428571,62.925,64.17777777777778
45.7,51.15,51.73333333333334,52.625,57.76,60.86666666666668,60.15714285714285,60.7625,62.79999999999999
55.4,59.9,49.96666666666667,57.125,54.96,61.68333333333333,60.68571428571428,62.5625,63.56666666666667
44.9,55.45,38.03333333333334,57.425,59.7,61.08333333333332,60.15714285714285,61.75,63.13333333333334
28.2,36.25,56.60000000000001,53.825,53.96,62.33333333333333,59.02857142857143,60.825,63.13333333333332
