n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
53.6,71.7,76.96666666666668,78.825,81.44,82.95,84.18571428571427,84.2,84.09999999999998
59.9,67.05,74.1,81.1,81.48,82.93333333333334,85.38571428571427,85.9875,84.62222222222222
52.0,64.95,74.96666666666665,80.025,81.64,81.6,83.62857142857142,83.85,84.93333333333332
67.7,69.5,77.13333333333334,80.4,83.1,83.41666666666669,82.68571428571427,83.65,84.2
56.9,71.1,79.00000000000001,76.5,79.42,80.3,81.41428571428571,81.6,83.35555555555555
70.4,70.0,75.7,78.875,79.34,82.88333333333334,83.8,84.2875,84.43333333333334
65.4,76.2,75.73333333333333,78.7,79.9,81.45,82.71428571428571,83.375,85.17777777777778
56.9,68.9,76.86666666666667,79.65,81.64,82.93333333333334,82.17142857142856,81.725,83.5
62.1,73.1,73.83333333333334,79.575,80.8,81.41666666666666,82.52857142857142,82.6375,83.93333333333332
56.4,67.7,73.19999999999999,77.25,78.0,79.5,81.05714285714285,82.5375,84.38888888888889
56.3,73.15,74.66666666666666,79.075,80.46,80.48333333333333,81.71428571428572,83.4625,83.3
63.2,77.05,75.46666666666665,77.175,80.82,79.61666666666666,82.3,82.95,83.1222222222222
47.6,73.5,76.23333333333332,76.45,77.58,78.96666666666668,81.2,83.7375,84.46666666666668
55.6,63.0,69.96666666666665,73.75,74.64,78.96666666666668,80.48571428571428,83.3,83.67777777777778
58.4,67.05,75.96666666666668,78.15,81.04,82.0,83.80000000000001,84.4875,84.23333333333336
61.7,69.4,76.1,78.15,78.36,80.38333333333333,82.78571428571428,84.8625,84.63333333333333
56.6,68.75,75.4,79.05,81.26,81.30000000000001,83.28571428571429,84.5,85.5
56.2,74.7,74.36666666666666,76.05,79.82,82.68333333333332,82.75714285714284,84.8875,85.10000000000002
57.1,69.85,74.56666666666668,78.0,81.24,82.25,83.27142857142857,83.45,84.56666666666668
58.0,65.6,74.76666666666667,81.425,82.2,83.46666666666665,83.11428571428573,84.3,84.78888888888889
53.9,68.65,75.46666666666665,78.475,82.02,82.0,82.34285714285714,83.025,84.31111111111112
52.7,67.4,71.93333333333334,74.75,77.6,80.36666666666666,82.52857142857142,82.0375,83.93333333333334
69.0,73.65,80.13333333333333,80.55,79.14,80.95,83.9,84.375,85.13333333333334
48.1,66.5,76.6,80.725,81.06,82.15,82.78571428571429,83.7625,84.26666666666664
50.6,67.95,74.03333333333333,75.1,79.28,82.08333333333334,82.9,83.3,84.48888888888888
66.2,67.45,71.49999999999999,77.0,78.48,80.55000000000001,81.55714285714285,83.4,84.46666666666664
50.5,69.5,71.23333333333333,74.45,75.4,77.38333333333334,79.62857142857143,82.325,84.64444444444445
65.7,71.2,76.66666666666669,79.025,77.78,80.1,80.98571428571428,82.275,83.25555555555555
58.6,66.45,75.83333333333333,78.0,81.72,83.48333333333333,85.02857142857142,85.0875,85.93333333333332
61.7,75.3,72.8,77.925,80.68,80.61666666666667,81.25714285714287,83.9625,85.16666666666664
