n=6,n=12,n=18,n=24,n=30,n=36,n=42,n=48,n=54
21.7,20.25,38.53333333333333,39.5,39.7,40.050000000000004,40.41428571428572,40.7,19.055555555555554
14.3,16.7,18.53333333333333,15.25,41.5,17.833333333333332,40.65714285714285,18.4625,17.88888888888889
24.6,14.95,14.166666666666664,18.9,18.0,18.21666666666666,16.5,17.9375,18.400000000000002
17.2,13.55,33.06666666666667,36.925,38.04,39.46666666666667,40.628571428571426,42.5125,41.55555555555555
15.9,18.5,38.66666666666667,15.95,18.96,18.383333333333333,16.985714285714284,18.175,18.655555555555555
22.7,18.85,17.2,16.05,18.78,19.383333333333333,19.885714285714286,40.6375,39.733333333333334
26.5,20.05,18.6,16.5,18.98,17.03333333333333,41.785714285714285,18.4375,41.58888888888889
28.2,32.0,39.93333333333334,41.725,41.32,39.08333333333333,39.614285714285714,39.45,40.588888888888896
13.1,32.2,33.599999999999994,37.65,40.14,40.400000000000006,39.25714285714286,41.0875,41.52222222222222
39.8,41.3,46.93333333333334,41.525,42.62,43.61666666666667,19.21428571428571,42.7125,41.677777777777784
28.1,36.9,35.900000000000006,37.05,40.48,41.03333333333334,18.92857142857143,20.6375,19.7
23.6,15.0,38.83333333333333,18.0,17.74,42.58333333333333,18.414285714285715,19.625,19.577777777777776
26.4,37.65,37.96666666666667,38.325,36.82,37.833333333333336,38.67142857142857,39.525,41.35555555555555
17.0,19.0,18.666666666666664,39.1,16.12,16.45,18.3,19.075,19.744444444444444
40.4,20.3,18.7,17.3,16.54,40.96666666666666,40.471428571428575,42.3,41.788888888888884
28.7,20.35,15.433333333333332,16.425,18.72,19.099999999999998,19.8,20.6875,19.53333333333333
16.2,17.7,20.76666666666667,19.8,19.74,18.85,18.12857142857143,40.175,40.37777777777777
27.0,38.0,37.1,37.525,38.76,20.03333333333333,20.68571428571429,18.875,18.42222222222222
14.9,17.8,16.733333333333334,16.65,17.1,16.166666666666664,15.699999999999998,17.6375,18.477777777777778
25.1,19.1,20.133333333333336,18.45,20.36,18.9,19.1,18.85,19.01111111111111
35.0,38.25,35.46666666666666,40.325,43.1,40.95,41.58571428571428,41.375,41.58888888888889
17.2,14.6,15.1,15.725,15.62,15.083333333333336,17.871428571428577,19.1875,17.96666666666667
44.3,44.45,39.83333333333333,38.6,17.92,18.383333333333336,20.17142857142857,18.575,19.066666666666666
24.0,37.4,39.96666666666666,18.35,43.76,43.33333333333333,41.71428571428571,19.8625,42.155555555555544
11.2,13.55,13.766666666666666,16.425,41.36,17.416666666666664,17.87142857142857,18.6625,19.333333333333332
34.0,46.65,42.36666666666668,40.55,40.76,41.46666666666667,43.41428571428572,41.525,41.56666666666667
35.1,15.85,37.266666666666666,41.275,44.6,43.533333333333346,15.357142857142856,17.35,17.466666666666665
28.0,20.95,18.233333333333334,20.05,20.54,21.6,21.642857142857146,21.175,42.51111111111111
26.3,22.1,16.200000000000003,17.025,18.9,19.916666666666668,18.942857142857143,19.375,20.022222222222222
29.3,20.3,21.166666666666664,17.7,19.1,41.38333333333334,41.528571428571425,41.5375,41.94444444444445
17.2,16.8,17.433333333333334,16.6,16.48,19.066666666666666,19.12857142857143,39.625,19.1
29.3,41.25,41.533333333333324,39.775,39.54,17.299999999999997,42.68571428571428,40.6125,19.02222222222222
29.3,34.85,16.733333333333334,38.425,40.8,40.51666666666667,39.199999999999996,40.725,39.75555555555556
37.3,36.65,40.93333333333333,38.4,39.08,14.699999999999998,15.728571428571431,17.575,41.33333333333334
15.4,22.9,24.466666666666665,23.125,22.72,21.116666666666664,18.928571428571427,19.7625,19.52222222222222
25.8,29.85,38.5,33.85,35.12,20.133333333333336,19.999999999999996,20.2125,19.377777777777776
20.0,16.05,35.3,15.7,18.28,17.883333333333336,41.642857142857146,19.9,19.455555555555556
33.7,44.05,39.06666666666666,39.7,41.12,41.39999999999999,38.9,38.425,18.477777777777778
32.4,17.9,40.7,40.625,39.3,41.91666666666666,40.51428571428572,40.7875,18.08888888888889
18.5,20.2,18.06666666666667,20.0,20.84,19.65,20.057142857142857,19.1125,19.62222222222222
45.2,17.45,42.26666666666667,39.575,19.84,40.266666666666666,20.4,20.7375,19.9
16.0,39.05,21.800000000000004,20.625,21.04,22.449999999999996,43.77142857142857,42.7125,19.11111111111111
21.0,20.8,22.666666666666664,37.825,37.58,35.95,37.2,40.375,41.288888888888884
37.3,34.7,16.733333333333334,36.475,36.14,37.56666666666666,40.04285714285714,39.6375,39.93333333333333
12.7,36.25,36.2,37.825,38.56,15.033333333333333,14.571428571428571,17.8,18.377777777777776
30.3,26.9,23.399999999999995,19.9,18.34,19.666666666666668,18.242857142857144,19.0875,19.83333333333333
19.7,18.0,17.333333333333332,37.05,39.9,40.266666666666666,40.41428571428571,39.675,20.155555555555555
26.1,21.95,18.333333333333332,20.65,22.34,21.133333333333336,19.514285714285716,18.4,19.111111111111107
28.9,17.3,20.266666666666666,19.7,21.4,19.266666666666666,19.1,18.95,19.077777777777776
34.3,19.2,41.56666666666667,43.075,43.88,16.383333333333336,18.21428571428571,20.5,19.42222222222222
32.3,33.8,15.433333333333332,18.525,18.06,20.866666666666664,19.04285714285714,20.075,19.755555555555553
1.9,33.3,36.56666666666666,19.15,18.4,17.483333333333334,18.64285714285714,18.4625,18.98888888888889
34.7,34.45,36.7,40.825,40.74,38.51666666666667,39.885714285714286,39.6,19.355555555555554
28.4,37.55,17.73333333333333,18.575,17.16,14.966666666666665,15.457142857142856,17.3125,17.866666666666667
13.3,19.1,35.93333333333334,19.75,21.24,20.46666666666667,20.47142857142857,18.0375,17.955555555555556
31.5,14.0,18.133333333333336,19.425,19.06,20.0,18.45714285714286,19.5125,40.41111111111111
34.1,21.9,17.733333333333334,20.325,20.16,19.166666666666668,42.357142857142854,42.125,41.83333333333333
31.2,36.7,42.6,18.375,42.34,20.133333333333333,38.642857142857146,19.05,19.01111111111111
33.6,33.85,37.06666666666666,39.2,41.16,42.98333333333333,43.71428571428572,18.9625,18.177777777777777
27.1,25.3,19.266666666666666,20.325,21.04,19.21666666666667,19.04285714285714,17.925,18.444444444444443
11.3,34.45,17.46666666666667,35.475,35.56,39.48333333333334,41.05714285714285,40.8625,40.177777777777784
37.4,37.1,38.43333333333333,39.8,40.4,18.883333333333333,38.32857142857143,39.6625,41.111111111111114
42.7,14.35,19.53333333333333,39.175,38.26,41.4,40.25714285714286,18.5875,19.022222222222222
28.6,37.25,35.166666666666664,35.325,38.02,39.43333333333334,18.585714285714285,38.7625,38.63333333333333
43.7,31.15,34.73333333333334,36.075,14.68,39.99999999999999,19.314285714285717,38.9125,39.211111111111116
31.9,17.35,35.86666666666667,40.325,40.18,39.916666666666664,40.22857142857143,40.225,40.5
30.5,37.5,44.39999999999999,38.725,38.32,40.63333333333334,40.95714285714286,39.9875,40.699999999999996
32.6,14.45,15.933333333333332,38.1,39.44,17.733333333333334,17.914285714285715,18.5125,18.83333333333333
39.6,35.8,36.1,39.775,42.04,41.51666666666667,41.15714285714285,41.275,42.01111111111111
27.2,15.15,16.999999999999996,18.375,16.12,40.38333333333333,17.84285714285714,18.2375,18.88888888888889
40.7,32.95,38.99999999999999,15.775,16.48,16.71666666666667,17.428571428571427,36.95,18.022222222222222
25.7,18.0,37.166666666666664,38.1,15.66,39.449999999999996,40.81428571428571,18.375,40.177777777777784
11.7,18.75,22.000000000000004,21.275,18.4,19.433333333333334,18.400000000000002,17.8375,18.966666666666665
13.4,17.95,17.93333333333333,16.35,40.4,39.65,37.92857142857142,18.3625,18.277777777777775
30.8,19.15,18.46666666666667,43.175,40.48,38.83333333333333,38.32857142857143,17.4625,17.96666666666667
36.5,17.65,14.433333333333335,16.1,16.58,17.500000000000004,19.95714285714286,18.5125,19.599999999999998
48.4,44.4,40.8,37.975,38.64,39.833333333333336,40.44285714285714,41.55,41.077777777777776
38.8,38.05,39.76666666666666,39.375,40.76,39.9,40.2,40.3125,40.48888888888889
33.9,35.1,39.43333333333333,38.525,39.04,37.78333333333333,39.8,40.2875,40.455555555555556
15.3,25.75,21.63333333333333,20.5,19.12,19.433333333333334,19.442857142857143,17.6625,18.288888888888888
25.9,13.2,14.866666666666665,17.075,15.4,17.699999999999996,17.24285714285714,39.95,18.333333333333336
15.8,17.35,21.46666666666666,21.1,20.06,20.25,18.728571428571428,19.275,19.0
17.3,40.6,41.63333333333333,41.7,14.3,16.9,16.385714285714283,18.0375,19.644444444444442
18.0,18.15,20.733333333333334,19.05,18.64,19.983333333333334,20.242857142857144,20.3375,19.444444444444443
20.5,18.3,15.433333333333332,17.125,37.72,39.66666666666667,39.91428571428571,39.6375,18.555555555555557
29.2,25.0,20.73333333333333,21.175,19.94,18.866666666666664,17.84285714285714,41.0,40.87777777777777
8.8,9.1,12.366666666666665,11.75,12.4,13.7,41.57142857142858,41.15,42.18888888888889
16.7,17.25,14.066666666666665,14.525,14.98,42.03333333333333,40.41428571428571,16.775,17.84444444444444
18.0,42.35,38.3,22.225,20.68,20.75,41.98571428571429,42.475,41.16666666666666
19.8,18.15,20.866666666666664,23.4,19.34,18.383333333333333,19.6,22.0375,19.955555555555556
10.8,16.05,18.46666666666667,18.8,16.8,18.53333333333333,39.37142857142857,18.025,39.81111111111111
26.4,36.1,34.49999999999999,16.75,37.46,41.31666666666666,40.385714285714286,41.7125,18.077777777777776
32.3,16.35,17.299999999999997,18.1,38.3,39.916666666666664,40.58571428571428,39.6875,18.355555555555558
36.1,41.4,36.46666666666667,38.025,16.4,16.46666666666667,18.514285714285712,18.15,18.711111111111105
18.8,17.5,19.2,17.95,19.5,19.083333333333332,21.471428571428568,20.375,20.51111111111111
33.1,37.85,17.93333333333333,20.175,21.56,41.48333333333334,40.98571428571429,40.0625,40.75555555555556
29.0,34.6,39.46666666666667,39.875,38.9,39.73333333333333,40.22857142857143,40.4125,41.6
19.7,32.65,35.8,35.25,40.56,15.816666666666665,17.4,16.625,17.955555555555556
37.3,32.2,20.1,21.925,20.44,21.55,19.4,18.5875,41.588888888888896
33.3,16.1,35.76666666666666,36.375,16.3,16.666666666666668,17.128571428571426,17.45,41.4
